3001,此股股性就是这么烂。,今日在K线图上铁定是一根大阴棒，明日回补缺口，然后又是半死不活的横盘！,None,国中水务,0
3002,快,银行暴动大盘完蛋天量天价快卖,None,工商银行,0
3003,看好煤炭股，我已卖了首创股份，买入煤炭股,煤炭短缺，水资源丰富,股东,首创股份,1
3004,卖一&nbsp;&nbsp;9.59&nbsp;&nbsp;1649主力之意图，凸现。,大抛单压顶，为了啥？,股东,新洋丰,2
3005,今天来看看600008，还是阿斗啊。,真是扶不起来的。。。,股东,首创股份,0
3006,。,中国的股市，赚钱不卖就是大S。三天不卖赚钱变被套！,None,广晟有色,2
3007,意义探索：一起等发发,今日表现：有色中的垃圾17.88,股东,宝钛股份,2
3008,"高抛，换000717韶钢股份，刚脱离底部涨幅不到10%，18跌到1.8准备撤退了，上证2160第一目标已经实现接下来要调整了，换小盘重组股云维股份，云南煤业入主承诺到期了四大凶股你有几？？601919从68到3.00000717从18到1.80600096从70到7.00000792从102到15.5A股氢燃料电池概念股：600096【增发】云天化｜增发年度 ｜增发方案 ｜｜2013-12-31 ｜进度说明:已实施 ｜｜ ｜发行方式:非公开增发 ｜｜ ｜实际增发数量:975034018 ｜｜ ｜增发价格:14.1元 ｜｜2011-12-31 ｜进度说明:已实施 ｜｜ ｜发行方式:非公开增发 ｜｜ ｜实际增发数量:103513229 ｜｜ ｜增发价格:17.93元 ｜氢燃料电池概念再添“新贵”证券时报记者从国家知识产权局了解到，云天化全资子公司云南云天化国际化工有限公司申报的“一种硫化氢及工业尾气制氢的方法”(专利号：CN201010155397.3)已由知识产权局授权。专利摘要显示，本发明首创性地提出磷肥与氮肥工业之间的硫、氢循环经济解决方案，也为氢能的生产提供了一种新的原料来源。市场人士分析，推广氢燃料汽车主要需要解决大量制取廉价氢气的方法，传统的电解方法价格昂贵，且耗费其他资源，无法推广。云天化此次制氢专利为氢能的生产提供了一种新的原料来源，云天化沾上氢气制备概念，有望得到资金热捧，对公司股价形成提振。值得提及的是，云天化国际是云天化2012年定向增发注入的优质资产，发行价格为14.30元/股，此批增发股将于今年5月解禁，与云天化现价倒挂明显。请问航运股和造船股应该哪个先复苏？A股远洋最高价69.00，最低2.80，现价3.45601919股价一向是600026的1.5倍，601919一向是HK01919的1.6倍601919业绩每股收益一向是601168西部矿业的4倍601919股价一向是601872招商轮船的4倍，601866中海集运的5倍601919业绩和股价一向是000898鞍钢股份的两倍远洋A股=H股*1.6港股远洋最低2.7，最高40.00.A股=H股*1.6601919=1919*1.6=4.02*1.6=6.4远洋股价相当于大盘上证指数280点。大盘最高6124点，1919最高68.00元601919合理股价=上证指数/100+10%合理股价排名第二熊股的鞍钢已经反转了，远洋还会远吗000898从35.00跌倒2.50，现在3.01元，业绩最好时每股收益1.00元/股601919从69.00跌倒2.70，现在2.75元，业绩最好时每股收益3.00元/股关于中国远洋 股价的理解【置顶】BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:1100点:6.80元:4.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:2200点:13.60元:8.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:3300点:20.40元:12.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:4400点:27.20元:16.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:5500点:34.00元:20.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:6600点:40.80元:24.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:7700点:47.60元:28.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:8800点:54.40元:32.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:9900点:61.20元:36.00港元BDI指数与中国远洋A股H股价绝大多数时间内的粗略比价对应关系:11000点:68.00元:40.00港元（BDI的历史高点为2008年5月20日的11793点）07年10月远洋H股最高40.8港元,A股68.4元,BDI指数约11000点在过去4年的约1000个交易日内有900天基本如此,正负误差不过10％为啥68.4时应该卖出远洋;而6.84时应该卖入远洋.中国股市必须和投资思路反着做才能赚到真金白银！【中国远洋】68.4时业绩巨盈时就卖出它,,,,,赌,,,,,场内机构帐面获巨利后套现派发开溜6.84时业绩巨亏时就买进它,,,,,赌,,,,,场外机构趁机偷吸割肉筹码悄悄进场中国股市必须投机才能赚到真金白银！必须和投资思路反着做！！.............................................................................................................看到现价很多300系列公司就使我想起3年多前68.4元/股的中国远洋基因和潜质，要破财就把精力集中在现价中小市值股上吧！::创业板中小板股价（它门还刚刚从头部下来到脖子的位置,,离腰和大腿还远着呢）【要求不高】近三百家的创业板股票中至少要出现30家以上股价双对折的股票,才能谈其板块中期见底!创业板指1239点即使不是十年巨顶 ,也必是3&quot;5年的大顶;在中国这个投机泡沫市中,一但此板块指数现大顶,接下来不向下一半以上,咋么可能见大底呢??中国远洋601919半年报亏损该退市了中国远洋处于一个大级别行情的底部随着集装箱行业的复苏，干散货迟早也会复苏。海运业是经济周期的先行指标而且是最反映基本面情况的。远洋现在的形态类似于05年底的很多蓝筹股，业绩不差，但是就是不涨，而且成交量稀少，稍微来点量，就能造成影响。散户在这股上基本没有脾气，就是不断的被收割。现在可能在形成大头肩底的右肩部位，一旦再次突破年线，则确立趋势。今日的跳空，只要本周没有补，就更加确定未来趋势。大蓝筹的大型底部，不会是惊心动魄的拉涨，而只会犹犹豫豫，不知不觉中不断波段抬高底部，不会有涨停，甚至5％以上的都少见。但是你会发现，过了两个月，原来站在年线上了，再过两个月，你发现怎么就从底部上来一倍了。这就是大底部的情况，很多人涨起来，才知道，原来现在有行情了，而这时候，你也该被套了。超级中石油：中国远洋（601919）BDI狂升＋油价跳水＋严重低估＋央企重组=601919回到68.00从68.00元跌下来，最低8.00元，现在8.50.00元，真是垃圾！中国远洋（601919）竟然30.00元定向增发基金抢吼，奇怪！跑啊中国远洋处于一个大级别行情的底部， 随着集装箱行业的复苏，干散货迟早也会复苏。海运业是经济周期的先行指标而且是最反映基本面情况的。601919，600026业绩比中国船舶有优势航运恢复最好时601919可EPS达3.00元，600150可EPS达6.00元！600150现在股价是601919的7倍。西部矿业上天了中集集团当仙了就剩下601919中国远洋成精了601919，600026业绩比中国船舶有优势航运恢复最好时601919可EPS达3.00元，600150可EPS达6.00元！600150现在股价是601919的7倍。别听某些基金忽悠请问航运股和造船股应该哪个先复苏？两市跌得最狠的股票：601919绝对排第一！（新股小盘股ST风险太大）601919中国远洋最高68.00，现价7.98！超级中石油：中国远洋（601919）横了14个月该竖14个月了中国远洋（601919）从68.00元跌下来，最低8.00元，现在11.00元，市值比有些创业板还小，真是垃圾！中国远洋（601919）竟然30.00元定向增发基金抢吼，奇怪！跑啊回调即低吸股票底部在7块多，10年虽然只有0.60---0.70但股价已充分体现，公司未来盈利比较确定，2013年经济全面恢复业绩可达2.00元。11块里可以逐步建仓，一旦打开上升通道就耐心持有，获利会比西部矿业，中集集团，振华重工这几只股票大。601919高点比中石油高（68.00）！竟跑不赢中石油！看你横盘多久？（已经14个月了）601919是垃圾如何从68.00到10.00？跑不赢西部矿业、中国铝业，中国石油，你应该破腹谢罪1股000039=2.5股601919（601919横盘1年多）601919最高68.00000039最高点才36.00我鞍钢脱离底部，西矿还会远吗？可燃冰概念股600168从68跌到5.50！西部矿业(601168)可燃冰新材料发掘大有可为西部矿业（601168）：我国在青海省祁连山南缘永久冻土带成功钻获天然气水合物（可燃冰）实物样品，成为世界上第一次在中低纬度冻土区发现天然气水合物的国家。我国是世界上第三冻土大国，冻土区总面积达215万平方公里，具备良好的天然气水合物赋存条件和资源前景。据科学家粗略估算，远景资源量至少有350亿吨油当量。青海省政府与中国海洋石油总公司在2010年6月签署了《资源合作战略框架协议》。根据此协议，由青海省发改委牵头，中国海洋石油公司、青海省发展投资公司、青海西部矿业集团、中国煤炭地质总局青海煤炭地质局四家单位正积极联合成立可燃冰研究中心。可燃冰项目就是股份公司发现和开采的。到底谁是锂业巨头啊，资料供参考锂对国民经济和国家安全具有重要意义,是21世纪的能源金属。近10年,中国主要从国外进口碳酸锂产品。中国是一个多盐湖的国家,盐湖锂占锂资源工业总储量的85%。现代第四纪盐湖主要分布在我国西北的青海、西藏、新疆和内蒙古四省区,具有很好的开发前景。经过多年科研后,目前国内已经在西台吉乃尔和扎布耶两个盐湖建立了卤水提锂产业。本文对比研究了这两个盐湖资源状况和地理气候条件,以及由此而决定的盐湖资源开发工艺流程,探讨了其工艺优化方向。并指出这两个盐湖具有锂资源储量大,品位高的优势,但是受盐湖类型或地理气候条件限制,工艺上有待改善。建议继续加强对盐湖开发技术优化和对盐湖提锂产业的扶持。盐湖股份（000792） 察尔汗盐湖总面积为5856平方公里，是中国最大的可溶性钾镁盐矿床。湖中蕴藏着极为丰富的钾、钠、镁、硼、锂、溴等自然资源，总储量为600多亿吨，其中仅氯化钾表内储量为5.4亿吨，占全国已探明储量的97％；氯化镁储量为16.5亿吨，氯化锂储量800万吨。在200吨碳酸锂实验取得成功的基础上，集团与核工业北京冶金化工研究院合作，投资5.33亿元建设年产1万吨碳酸锂项目，组建了青海盐湖蓝科锂业股份有限公司。吸附法—卤水提锂技术是新工艺新技术，具有针对性和独特性，该技术达到了国际水平，锂回收率达到70％以上，产品纯度达到99％。2009年进入投料试车。在1万吨碳酸锂项目成功运行基础上，拟及时扩建适当规模的碳酸锂项目，并就氯化锂、钴酸锂、金属锂、锂电池等下游系列产品进行开发和研究，争取在较短时间内延伸锂产业链，并形成一定的经济规模。青海谋划打造中国锂都青海盐湖工业集团与广东佛山照明公司日前签署合作协议，双方将在盐湖资源的综合利用、电池级碳酸锂产品开发、市场销售及售后服务等方面展开全面合作，以打造“中国锂都”。青海省盐湖资源储量大，品位高，类型全，资源组合好，已初步探明氯化锂储量有２０１８万吨，储量居全国第一位，占全国已探明储量的９０％以上，占世界盐湖锂资源储量的１／３。近年来，随着锂电池的开发及新兴领域的发展以及高油价提升了新型动力汽车的迫切性和经济性，国际市场对碳酸锂需求量日益增长。据青海盐湖工业集团股份有限公司副总经理张生顺介绍，迅速增长的消费需求要求有与之相适应的产能，但我国目前采用的碳酸锂提取技术无法形成工业化大规模生产，而且由于纯度原因，目前自产的原材料只能供应一些对纯度要求不高的市场，限制了效益的增长。此次与佛山照明公司合作，意在共同开发青海的锂资源，提高锂资源的利用率。盐湖集团(000578)：察尔汗盐湖氯化钾表内储量为5.4亿吨，占全国已探明储量的97%；氯化镁储量为16.5亿吨，氯化锂储量800万吨；集团投资5.33亿元建设年产1万吨碳酸锂项目，锂回收率达到70%以上，产品纯度达到99%。锂业巨头000792盐湖股份国际钾肥涨价了000792盐湖股份记得氯化钾08年涨到5500元/吨，5年后每股收益可达到8元/股，合计15元股价市盈率才2倍KCL 5500元/吨 成本1500元/吨 每吨利润4000元/吨年销量300万吨左右年利润：300万吨*4000元/吨=1200000万元即120亿元每股收益：120亿元/16亿股本=8元/股市盈率：15元/8元=2倍柴达木盆地将成我国最大锂电池原料基地发布时间： 2009年05月19日 15:01 来源：中投顾问　 【字体：大 中 小】据中投顾问汽车行业分析师李胜茂指出，常规来说，新能源汽车产业链大致分3个环节：上有有色金属原材料，中有车载动力电池材料供应商和电池生产商，下有整车厂商。因有色金属资源具有极强的地域性，因此，在产业链上来看，新能源汽车产业的上有色金属企业将会非常集中。锂电产业属于新能源、新材料的新兴产业，世界各国都很重视，尤其是动力锂电池更备受关注。锂电上产业主要是天然矿产资源，包括钴、镍、锰、磷、铁、锂及各种化合物，其中尤以钴和锂用量最大，但它们在自然界中储量有限，属于稀缺资源。据中投顾问发布的《2008-2010年中国新能源汽车产业分析及投资咨询报告》指出，到2012年，国内有10％新生产的汽车是节能与新能源汽车，按届时汽车年产辆为1000万辆算，我国新能源汽车要达到年产100万辆的规模。中投顾问李胜茂指出，每辆新型动力汽车预计需要0.08吨左右的碳酸锂，一旦动力锂电池大规模应用在新能源汽车上，碳酸锂的市场潜力将十分巨大，预计到2012年仅新能源汽车对碳酸锂的需求每年就将达到5万吨以上。据中投顾问汽车行业分析师李胜茂介绍，在自主研发盐提锂、提镁技术及生产工艺的基础上，我国一些大型工业企业近几年来在柴达木盆地深处开始建设碳酸锂、氢氧化镁等化工产品生产基地。目前国内生产碳酸锂的企业主要集中在西藏矿业、中信国安、青海盐集团这三家公司，而这三家公司的镁、锂矿产均集中在柴达木盆地。资料显示，地处青海高原腹地的柴达木盆地富含有钾、钠、镁、锂、硼等矿产资源，其中氯化镁31亿吨，约占全国保有储量的99％;氯化锂近1400万吨，占全国保有储量的83％。中投顾问李胜茂预计柴达木盆地将成为我国最大的动力锂电池原料供应基地，未来我国车用锂电池碳酸锂原材料需求将得到有效地保障。为了综合利用盐镁、锂等资源，“十一五”期间盐工业集团公司将投资建成年产10万吨无水氯化镁、1万吨碳酸锂等项目，打造现代高科技盐化工基地。",高抛，换000717韶钢股份，刚脱离底部涨幅不到10%，18跌到1.8,None,广晟有色,0
3009,坏B,希望 三元股份的小庄 死在煤炭 有色里,None,三元股份,2
3010,"研报日期：2014-07-28上半年业绩同比降40% ，下半年业绩或转亏。公司2014年上半年分别实现营业收入净利润 25.2/2.47亿元，同比分别下降 15.37%/40.00%，EPS0.19元，基本符合我们的预期（ EPS0.20元），净利润同比大幅降低，主要是受煤炭市场环境的不利影响，煤炭售价同比降低，销售收入同比减少所致。公司预告前三季净利润同比将出现大幅下滑，降幅或在 65%～95%，下半年整体亏损的概率较大。2014上半年产量同比微降，内蒙地区销售收入降幅较小。2014上半年公司煤炭产量/销量分别为2151/2109万吨，同比减少0.23%/0.80%。公司产品结构单一，主营业务收入主要来自煤炭产品。上半年公司煤炭主要销往内蒙古、吉林、辽宁地区，三地销售收入分别为12.08/4.48/8.32亿元，同比-7.05%/-21.49%/-23.31%, 销售毛利率分别为21.84%/27.64%/26.57%，同比分别下降3.39/3.68/4.08pct。吨煤成本大幅缩减，费用率微升，净利率降至9.8%。按销量口径计算，公司2014上半年吨煤销售均价为118元，吨煤成本约为89元，同比分别变动-15.13%/ -10.47%。吨煤毛利率24.46%，同比减少3.93pct。2014上半年 销 售/ 管理/ 财务费 用 占 销 售 收 入 的 比 重 分 别 为0.40%/7.94%/2.79%，同比分别增加-0.79/1.94/0.41pct，净利率水平9.8%，同比下降4.02pct。区域市场竞争压力加大，公司4月开始下调煤炭关联交易售价。公司原公告2014年计划关联交易金额，其中出售煤炭计划金额约为46.51亿元（同比-1.13%），有助于稳定公司业绩。但随着区域市场竞争压力加大，公司于4月开始陆续下调煤炭协议售价，吨煤价格下调5～10元不等，或影响净利润1.7亿元，预计将减少50%的利润。公司未来成长性仍然可期，关注政策预期。公司目前正筹划增发事宜，修订后的发行方案中募投项目为霍林河坑口电厂的收购，增发价为5.91元/股。此外，集团对煤炭业务整体上市的承诺不变，未来仍存在白音华三号矿的注入预期，该矿设计年产能1400万吨，预计2015年达产，目前该矿采矿权人变更尚需要国土资源部审批，生产验收及相关证照仍未办理完毕。若集团履行承诺，公司后续成长性依然可期。近期，国企改革以及内蒙区域发展政策推出的预期升温，公司或可从政策中受益，后续值得关注。风险因素：褐煤市场价格进一步下跌；政府对低卡煤使用出台限制措施。盈利预测及评级：考虑目前公司经营形势，我们下调公司2014～2016盈利预测EPS 至0.13/0.16/0.24元（原预测0.50/0.53/0.56 元），当前价7.20元，对应P/E分别为55/45/31x。给予2014年P/B1.2x，维持目标价7.50元及“增持”评级。[中信证券股份有限公司][点击查看PDF原文]提示：本文属于研究报告栏目，仅为机构或分析人士对一只股票的个人观点和看法，并非正式的新闻报道，本网不保证其真实性和客观性，一切有关该股的有效信息，以沪深交易所的公告为准，敬请投资者注意风险。",煤价持续低迷，下半年业绩或转亏查看PDF原文,研报,露天煤业,2
